word,type_id
akurat,1
akusatif,2
akustik,1
akustika,2
akut,1
akwal,2
ala,0
alaf,6
alah,1
alam,2
alamak,7
alamas,2
alamat,2
alamatulhayat,2
alami,1
alamiah,1
alang,2
alang-alang,2
alangkah,5
alantois,2
alap,1
alap-alap,2
alarm,2
alas,2
alat,2
alau,2
alawar,2
albas,2
albatros,2
albedo,2
albedometer,2
albinisme,2
albino,2
albit,2
albuginea,2
album,2
albumen,2
albumin,2
albuminometer,2
albuminuria,1
aldehida,2
alegori,2
alegoris,1
aleksia,2
alel,2
alem,1
alergen,2
alergi,2
alfa,2
alfabet,2
alfabetis,1
alfanumerik,2
alga,1
algojo,2
algologi,2
algoritme,2
alhamdulillah,7
alhasil,8
ali,4
ali-ali,2
aliansi,2
alias,0
aliase,2
alibi,2
alienasi,2
alifatik,1
alih,4
alih aksara,2
alih fungsi,4
alihragam,2
alik,4
alikuot,2
alim,1
alimentasi,2
alimenter,2
alinea,2
aling,4
alir,4
alis,2
alisiklik,1
alit,2
aliterasi,2
alizarin,2
aljabar,2
alkali,2
alkalinitas,2
alkalis,1
alkaloid,2
alkalometri,2
alkana,2
alkausar,2
alkena,2
alkil,2
alkimia,2
alkisah,2
alkitab,2
alkohol,2
alkoholisme,2
alku,2
alkuna,2
almamater,2
almanak,2
almandin,2
almandit,2
almarhum,2
almarhumah,2
alobar,2
alofon,2
alograf,2
aloi,2
alokasi,2
alomerisme,2
alomorf,2
alonim,2
alopesia,2
alot,1
alotropi,2
alpa,1
alpaka,2
alperes,2
alquran,2
altar,2
alter ego,2
alternasi,2
alternatif,2
alternator,2
altimeter,2
alto,2
altokumulus,2
altostratus,2
altruis,2
altruisme,2
altruistis,1
alu,2
alu-alu,2
alum,1
alumina,2
aluminium,2
alumni,2
alumnus,2
alun,2
alun-alun,2
alung,2
alup,4
alur,2
alusi,2
aluvial,1
aluvium,2
alveolar,1
alveolum,2
alveolus,2
alwah,2
ama,2
amah,2
amal,2
amalgam,2
amalgamasi,2
amalgamator,2
aman,1
amanah,2
amanat,2
amandel,2
amandemen,2
amang,4
amanitin,2
amar,2
amat,5
amatir,2
amatirisme,2
ambah,2
ambak,4
ambal,2
ambalela,4
ambang,2
ambar,2
ambasador,2
ambek,4
ambek paramaarta,1
ambergris,2
ambet,2
ambigu,1
ambiguitas,2
ambil,4
ambil alih,4
ambilingual,2
ambin,2
ambing,2
ambisi,2
ambisius,1
ambivalen,1
ambivalensi,2
amblas,4
ambles,4
amboi,7
ambring,1
ambrol,4
ambruk,4
ambulans,2
ambulatori,1
ambur,4
amburadul,1
ameba,2
amebiasis,2
ameboid,1
amebosit,2
ameliorasi,2
amelioratif,1
amendemen,2
amenorea,1
amensalisme,2
amerisium,2
amerospora,2
amerta,1
ametabola,2
ametis,2
amfetamin,2
amfiartrosis,2
amfibi,2
amfibol,2
amfibolisme,2
amfiteater,2
amfoterik,1
ami,1
amigdalin,2
